Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.9085185124147992,155255226,서부지법 폭동 할때 전광훈이 남자들 전부 제외하고 여자들만 보냈으면 백퍼 성공했을거라고 본다 ㄹㅇ 동덕여대처럼,,,,,,,,
Comment Hate,0.8949038083704621,155255226,시기적으로 보면 사형 구형해야함 국민의 축제를 망친년,,,,,,,,
Content Hate,0.9240400580706528,4771496,,DCINSIDE,대표팀은 배준호 오현규 이강인 라인으로 가야지,이재성 손흥민 황희찬을 아직도 주역으로 사용하고 쟤들을 서브로 생각하면 어카냐? 명보야 내년이면 30대 선수들은 또 체력 절반으로 내려가 있다,,해외축구,https://gall.dcinside.com/board/view/?id=football_new9&no=4771496,dc,손흥민
Comment Hate,0.8953446782663264,4771472,@해갤러1(211.238) 메시보다 이강인이 낫다는 메시지를 누가 반박함 가치도 없는 축알못 줌마소리인데 ㅋㅋ,,,,,,,,
Comment Hate,0.9354471867620908,4771472,@해갤러1(211.238) 메시<<이강인 이게 밥줌마 정신병농도제 ㅋㅋ,,,,,,,,
Comment Hate,0.8916730716229577,4771472,그러게 밥줌마 메시드립은 진짜 손줌마 빅클럽드립급이네 ㅋㅋㅋㅋ,,,,,,,,
Comment Hate,0.8911221925969143,4771472,@해갤러1(211.238) ㄹㅇ 정신병자맞네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
Comment Hate,0.9275128068103362,4771472,아니 평생 좆소팀전전하던 병신새끼랑 월드컵우승 발롱도르 8회 리그 수도없이우승 개인이 찍을수있는 커리어 다찍은선수가 미국간거랑 유럽팀에서 좆소팀만 평생 전전 빅클럽에서오퍼도 한번안옴 재계약해달가고 바짓가랑이 잡고 질질짜며 매달리다가 미국으로 폐기수마냥 방류된새끼랑 비교가 되냐 ㅋㅋㅋㅋ,,,,,,,,
Comment Hate,0.9171362247325436,4771472,밥줌마 손줌마는 그냥 정신병자가 맞네 ㅋㅋㅋ,,,,,,,,
Comment Hate,0.9361642492961104,4771472,"@해갤러1(211.238) ""퇴물"" 주제에 무슨 커리어를 따져? ㅋㅋ",,,,,,,,
Comment Hate,0.9764789294828286,4771472,@해갤러1(211.238) 이새끼 말대로면 퇴물리그 뛰어서 까이는게 아니고 그냥 선수 자체의 급을 논하면서 까는게 맞지 무슨 저능아마냥 퇴물리그 드립을 침? ㅋ,,,,,,,,
Comment Hate,0.9131133580771024,4771472,조씨! 헛소리 작작하고 투표거부 한잔해~,,,,,,,,
Title Hate,0.9134600049864352,154881583,,ARCALIVE,혐지 만큼이나 역겨운건 닭마갤 새기들임,"포치보고 선수빨 무관충이라 욕하는대 정작 지들이 빠는 손흥민 키운것과 그 외 dek, 수미다이어등 포텐 터뜨려준게 포치인건 쏙 빼놓음 포스텍 선수 갈아넣고 손흥민 빨로 유관한 새끼라 욕하면서 정작 손흥민 없이도 유로파만큼은 나름 전술적으로 잘 운용한건 쏙 빼놓음 프쌤 ",닭갤은 일단 레전드글이 너무많음 ||| 백번 양보해서 손씨 있을 땐 팀에 에이스이자 주장인건 사실이니까 그렇다쳐도 토트넘갤인데 손씨 나가고 나서도 저러는건 데체 뭘까,종합축구,https://arca.live/b/breaking/154881583?target=all&keyword=%EC%86%90%ED%9D%A5%EB%AF%BC&p=1,arca,손흥민
Comment Hate,0.9196330931959154,154793068,걍 쓰레기장에서 쓰레기 냄새난다고 욕하는꼴이죠ㄹㅇㅋㅋ,,,,,,,,
Comment Hate,0.8930748552742142,154768261,닉넴 ㅅㅂ역겹다,,,,,,,,
